question,document
"I just found this course — is it too late to join, or can I still start now?",74eb249bbf
"If I join after the course has already started, can I still get a certificate?",74eb249bbf
What do I need to do to be eligible for the certificate if I’m joining late?,74eb249bbf
"Are late joiners allowed in the course, or do I have to wait for the next run?",74eb249bbf
"Can I still take part in the course now, and how does the project deadline affect certification?",74eb249bbf
"Do I actually need a confirmation email to start the LLM Zoomcamp, or am I already accepted?",977bf7786c
"If I registered for the course, should I still wait for some email before beginning the lessons and homework?",977bf7786c
"Is there a list of approved students for the LLM Zoomcamp, or can anyone submit homework while the form is open?",977bf7786c
What is the point of registration if I can already start learning without any confirmation?,977bf7786c
I signed up for the LLM Zoomcamp but haven’t gotten an email yet — does that mean I’m not in?,977bf7786c
How do I join the Office Hours or live workshop if I’m a student and don’t have the Zoom link?,489dd1c9d9
Where can I find the stream URL for a live session before it starts?,489dd1c9d9
"Do students get the Zoom invite for workshop sessions, or is it only for instructors and presenters?",489dd1c9d9
"If I want to watch Office Hours live, should I use YouTube or Zoom?",489dd1c9d9
What’s the best way to ask questions during the live sessions if chat is too busy?,489dd1c9d9
Where do I begin if I want to join the course and what should I check first?,04919992b3
What’s the usual weekly routine for following the lessons and homework in this course?,04919992b3
"Can I start the course anytime, or do I have to wait for a specific date?",04919992b3
"After watching the videos, what’s the best order for doing the notebooks, homework, and submission?",04919992b3
"Is the homework basically the same as the lesson exercises, or does it change a bit?",04919992b3
How do I find my own row on the leaderboard if I can’t spot my name right away?,c2903069a0
Why am I seeing a random name on the leaderboard instead of my real one?,c2903069a0
Where can I check what my current display name is in the course profile?,c2903069a0
"How do I change the name that shows up for me, like using my GitHub or Slack name instead?",c2903069a0
What do I need to edit so my certificate uses my real official name and not the default random one?,c2903069a0
"Can I take the course on my own schedule and still earn the certificate later, or does it only count with a live cohort?",69d122f12e
"If I study the lessons in self-paced mode, what still has to be done during the live run to get the certificate?",69d122f12e
"Do I need to complete all the homework to qualify for the certificate, or is the project enough?",69d122f12e
Is it okay to prepare the capstone project ahead of time and submit it when the cohort opens peer review?,69d122f12e
"What are the exact steps for getting the certificate in this course, and can any of them be finished after the cohort ends?",69d122f12e
"If I skip the first homework, can I still qualify for the course certificate?",9f689c185f
"Do I actually need to do all the homework assignments to get the certificate, or is something else enough?",9f689c185f
What is required to receive the certificate in this course if homework is optional?,9f689c185f
Is the capstone project the main thing I need to pass for the certificate?,9f689c185f
"If homework isn't mandatory, does missing it affect my certificate or only my leaderboard score?",9f689c185f
Why does the homework content keep changing before it’s officially out?,96286b4be4
What does it mean when a homework title has [DRAFT] in it?,96286b4be4
How can I tell when a homework is actually ready to start?,96286b4be4
Is it safe to work on the homework before the form is open and the draft tag is gone?,96286b4be4
Can the final homework version be different from the one I see early on?,96286b4be4
When is the next LLM Zoomcamp session scheduled to start?,bd31146b0e
Do you know when this course will be offered again?,bd31146b0e
What’s the next time this course is expected to run?,bd31146b0e
Is there a summer 2027 cohort for this course?,bd31146b0e
When can I expect the next offering of the course?,bd31146b0e
Where can I find the course lectures or videos for this program?,31456f4b5f
Is there a main page or repo I should use to get to the lesson videos?,31456f4b5f
I can’t find the videos — do I need to open each lesson folder somewhere?,31456f4b5f
"Are the lecture links inside the lesson pages, or are they only on YouTube?",31456f4b5f
What’s the best place to start if I want the most up-to-date video links?,31456f4b5f
Where do I check the LLM Zoomcamp syllabus and current cohort structure?,20c5a1347e
"What site should I use to see homework, deadlines, and my course progress for LLM Zoomcamp?",20c5a1347e
Is there a central platform for tracking LLM Zoomcamp assignments and due dates?,20c5a1347e
How can I follow the LLM Zoomcamp course schedule and progress in one place?,20c5a1347e
Where is the official LLM Zoomcamp management page for syllabus and homework tracking?,20c5a1347e
"Does this course have live sessions or office hours for every module, or are most lessons just pre-recorded in the repo?",d65e05bd7a
"When live sessions do happen, how do we know about them and where should we ask questions if we get stuck?",d65e05bd7a
Is there any extra paid support with regular Zoom office hours if the free course materials aren’t enough?,d65e05bd7a
"Are the module videos and materials available ahead of time in the GitHub repo, or do we need to wait for each session?",d65e05bd7a
"If I need help while studying, is Slack the main place to post questions and get guidance?",d65e05bd7a
Can I count Bluesky posts toward my learning in public credits?,dbf5369006
Are Bluesky updates accepted as learning in public credits for the course?,dbf5369006
"If I post on Bluesky about the course, does that qualify for public learning credit?",dbf5369006
Do Bluesky posts work for the learning in public requirement?,dbf5369006
Is Bluesky a valid platform for getting learning in public credits?,dbf5369006
"Is there a Telegram channel for LLM Zoomcamp, and what is the link?",054f3fd58f
What should I use the Telegram channel for in this course?,054f3fd58f
"If I have technical questions about the course, should I ask in Telegram or somewhere else?",054f3fd58f
Where do course announcements get posted for LLM Zoomcamp?,054f3fd58f
What’s the best place to discuss technical issues for the course?,054f3fd58f
Why does my FAQ dataset have a different number of documents than the video example?,e2d595f23c
My RAG answer is different from the lecture output — is that because the dataset changed?,e2d595f23c
"If the FAQ data is updated over time, how do I make my notebook match the video exactly?",e2d595f23c
"Does a different document count mean my implementation is broken, or can it just be the live dataset?",e2d595f23c
Why do I get different retrieval context and answers when I run the latest FAQ files?,e2d595f23c
Can I still turn in the homework if the deadline already passed but the form is still open?,a9353fadfe
"Does a missed deadline mean I can't submit anymore, or only when the form gets closed?",a9353fadfe
"If the homework page still lets me submit, is it okay to send my answers after the due date?",a9353fadfe
What happens when the homework deadline is over but the submission form hasn't been closed yet?,a9353fadfe
Am I allowed to submit late as long as the submission form is still open?,a9353fadfe
"Can I still hand in homework after the deadline if the form is open, or is it already too late?",cdc3b285e5
Do you ever give deadline extensions for homework submissions in this course?,cdc3b285e5
"What happens if I miss a homework assignment, does it affect getting the certificate?",cdc3b285e5
"If I don't submit one homework, will I be removed from the leaderboard or lose my rank?",cdc3b285e5
"Is homework required for the certificate, or is only the Capstone project mandatory?",cdc3b285e5
"Does the name I enter for the certificate get shown anywhere public, or is it kept private?",651ba06b34
What name shows up on the course leaderboard — is it the same as the certificate name?,651ba06b34
"If I want my real name on the certificate but not on the public leaderboard, can I do that?",651ba06b34
Where do I change the nickname for the leaderboard and the name that prints on the certificate?,651ba06b34
"Is the certificate name shared with anyone else, or does it only appear on the certificate itself?",651ba06b34
Why don't we use LangChain in this course at the beginning?,b7cdde6b25
Is there a reason we're building the RAG parts ourselves instead of using a framework?,b7cdde6b25
Wouldn't it be easier to just use LangChain for prompting and retrieval?,b7cdde6b25
What do we gain by learning the low-level pieces before a library like LangChain?,b7cdde6b25
Why is the course focusing on core RAG components first rather than an app framework?,b7cdde6b25
Why do I get an OpenAI API Error about insufficient credits when I run responses.create?,f5df151c59
What does the responses.create command error mean if my OpenAI account has no credits left?,f5df151c59
How can I fix the OpenAI API error that says Insufficient credits when using responses.create?,f5df151c59
"Is insufficient credit the reason responses.create fails in OpenAI, and what should I check?",f5df151c59
I’m seeing OpenAI API Error: Insufficient credits on responses.create — what’s causing it?,f5df151c59
Why am I getting a 429 RateLimitError from OpenAI when calling the API?,152af39a53
"Does OpenAI API have any free quota, or do I need to add billing first?",152af39a53
How can I fix the insufficient_quota message in my Python code?,152af39a53
What should I do after adding credits if the error still shows up?,152af39a53
How do I know which OpenAI model I’m allowed to use in responses.create?,152af39a53
How much money do I actually need to spend to use the OpenAI API for this course?,554d0eb78b
"Do I need to add a lot of credit to use OpenAI in the course, or is it just a few cents?",554d0eb78b
What’s the minimum I should recharge on OpenAI if I want to follow along with the course?,554d0eb78b
"Will using the OpenAI API for the course end up costing me a lot, or is it really cheap?",554d0eb78b
"If I start using OpenAI for the assignments, how much should I expect to pay at first?",554d0eb78b
"Do I really need to pay for the OpenAI API to finish the homework in this course, or are there free options I can use instead?",85384a18e5
"If I don't want to subscribe to OpenAI, what other API choices are recommended for the course assignments?",85384a18e5
"Is OpenAI API a required paid service for doing the Module 1 RAG homework, or can I skip it and still complete everything?",85384a18e5
Where can I find the list of cheaper or free alternatives to OpenAI API mentioned for this course?,85384a18e5
"For this course, can I use an OpenAI API alternative instead of paying for OpenAI and still do the homework properly?",85384a18e5
Why does the course use uv instead of pip and virtualenv for the setup?,f81dea8f7e
"Do I have to use uv, or can I still stick with pip and virtualenv?",f81dea8f7e
What makes uv better or easier than using separate Python tools for envs and packages?,f81dea8f7e
"Can uv handle Python versions, virtual environments, and dependencies all in one place?",f81dea8f7e
Is there an official guide for uv if I want to check how it works?,f81dea8f7e
Why does my notebook say OPENAI_API_KEY is missing even though I put it in a .env file?,86d99bbf21
"Do I need python-dotenv for the key to show up in Jupyter, and how do I load it?",86d99bbf21
Where should I call load_dotenv() before I create the OpenAI client?,86d99bbf21
What exact variable name should I use in the .env file for the API key?,86d99bbf21
My OpenAI key works in terminal but not in the notebook — what am I missing?,86d99bbf21
How do I keep my OpenAI or Groq API keys in a .env file and read them in Python?,233dabe430
What’s the easiest way to load environment variables from .env when building the RAG project?,233dabe430
Do I need to install anything special to use .env files for API keys in this course?,233dabe430
How can I make sure my API keys are not pushed to GitHub when using .env?,233dabe430
What is the Python code to load OPENAI_API_KEY and GROQ_API_KEY from a .env file?,233dabe430
"Can I swap the homework model for a different one, or do I have to use the suggested provider?",ee43413718
"Is it okay to do the assignment with Gemini, Groq, OpenRouter, Azure OpenAI, or even a local model?",ee43413718
"Do I need a paid API to finish the homework, or can I use free options instead?",ee43413718
"If I use another LLM provider, will I have to change the code because of different response formats or tokenizers?",ee43413718
Where can I find a list of OpenAI API alternatives that fit this course?,ee43413718
How do I set up Gemini in the Module 1 notebook if I want to use Google’s OpenAI-style endpoint instead of the usual OpenAI one?,0ae5c221b9
What do I need in my .env file and client setup to call a Gemini model from the RAG notebook?,0ae5c221b9
How can I write the llm helper so it sends instructions and user text to a Google Gemini model through chat completions?,0ae5c221b9
Which Gemini model name should I pass in the notebook request when using the OpenAI-compatible URL?,0ae5c221b9
"If the course notebook was built around Responses API, what parts usually need updating when switching to Gemini chat completions?",0ae5c221b9
How do I get a Pydantic object back from Gemini when the Responses API parse method isn’t there?,341f71f28c
What’s the right way to use the OpenAI SDK with Gemini if I want structured output instead of raw JSON?,341f71f28c
Can I call chat.completions.parse on Gemini through the OpenAI-compatible endpoint and still get parsed data?,341f71f28c
How should I define the schema for FAQ output so Gemini returns questions and answers in a Pydantic model?,341f71f28c
What do I pass to the OpenAI client and parse call when using Gemini’s OpenAI-compatible URL for structured responses?,341f71f28c
"How do I install Ollama on macOS, Windows, or Linux?",1d0b969028
What’s the quickest way to get Ollama running after I download it?,1d0b969028
How can I check if the Ollama local server is actually up?,1d0b969028
"Do I need a Python package for Ollama, and how do I install it?",1d0b969028
What does a basic Python example look like for chatting with llama3 using Ollama?,1d0b969028
How can I fix a connection refused error when I try prompting Ollama in the RAG homework?,c6fc2d4d11
What should I do if Ollama stops responding and I get a refused connection during the notebook tasks?,c6fc2d4d11
Is there a way to restart the Ollama server from the notebook after that connection error shows up?,c6fc2d4d11
Do I need to run the Ollama serve cell again if I stop and restart my notebook?,c6fc2d4d11
What command should I use to bring Ollama back up when the RAG exercise fails with a connection issue?,c6fc2d4d11
Why do I get a different token count from OpenAI than from `tiktoken.encode()` on the same prompt?,bf0403d21b
How many extra tokens does a chat completion message add in OpenAI's API?,bf0403d21b
What causes OpenAI to report more tokens than the words I can actually see in my message?,bf0403d21b
Is it normal if `tiktoken` says 320 tokens but the API usage says something like 327?,bf0403d21b
"Do newlines, spaces, or weird Unicode characters change the token count in OpenAI chat requests?",bf0403d21b
How can I stop re-exporting my API key in every new terminal when working on the RAG project?,8b2f5e9d04
Is there a simple way to make my .env file load automatically when I enter the project folder?,8b2f5e9d04
Should I use dirdotenv or direnv for handling OpenAI keys in the course labs?,8b2f5e9d04
What’s the safest way to keep API secrets out of GitHub if I store them in a .env file?,8b2f5e9d04
"If I’m running a Python script instead of a shell app, how do I load the environment variables from .env?",8b2f5e9d04
What’s the best way to decide weights for different fields in minsearch or a similar search tool?,87d4ea4e08
"Do I just pick field weights by trial and error, or is there a better method for tuning them?",87d4ea4e08
How can I test whether one set of search weights works better than another on my data?,87d4ea4e08
What should I use to evaluate different field-weight settings for retrieval quality?,87d4ea4e08
"For a small RAG project, how do I know if my search weighting is actually improving results?",87d4ea4e08
"What’s the best way to clean documents before using them in RAG, and what kinds of noise should I remove?",649c280e6d
"Do I need to keep things like section titles, dates, or page numbers when preparing data for retrieval?",649c280e6d
"Is JSON required for RAG document prep, or can I use some other format as long as it’s easy to process?",649c280e6d
How should I chunk documents so the chunks still keep the useful context together?,649c280e6d
What metadata is worth saving for later filtering or ranking when I build a RAG pipeline?,649c280e6d
